I,G,C_012,C_120,C_201,H_012,H_120,H_201,ground_truth,choice,confidence
-66.14198399354622,-49.52021848740545,-52.45503098519468,-63.66133285336857,-61.215770334221936,-49.49832843375977,-59.43048253166279,-57.326331187753084,H,H,high
-62.94335526371642,-92.12224368907378,-54.20821418242886,-85.4320755447286,-96.86477721029894,-54.89425924700915,-82.5139558223707,-93.7006129078523,C,H,high
-69.2895593169197,-344.43641425927444,-192.65849888900297,-195.42344796395273,-239.1396401670308,-201.85440532395077,-207.74051004599613,-246.23725199954202,I,I,low
-62.39122824510057,-95.06266481993799,-52.00139323532445,-92.45380649080755,-113.47365512984825,-49.58436227023546,-89.66673800903376,-110.07668604286407,H,C,high
-62.80994350258855,-98.60852458202729,-94.42195731190864,-89.78485972223784,-64.29100233321181,-91.39656486023216,-88.10703826452941,-64.53582986069388,I,C,low
-67.3093986637886,-106.17398021348737,-81.70840745851886,-97.14201550958349,-83.27589881358956,-80.0615515363801,-95.2111999128037,-82.30382171610603,I,C,low
-64.363478078643,-39.17007462780775,-52.37439388726339,-52.34775290373279,-53.16107145645061,-45.930264741831294,-46.07535341003424,-46.95056192985844,G,G,high
-66.59758406396209,-40.83379656434849,-54.415723695568396,-55.225685859425866,-54.68978028005329,-48.26439642858828,-49.07212920037906,-48.62986706138631,G,G,low
-64.2340701737048,-208.4735028629493,-124.77714593432519,-151.41424766179802,-157.90044374362947,-126.88360774237769,-154.26569248837137,-159.35702951564267,I,I,low
-62.31612434898998,-228.71598989824034,-137.0874362676184,-131.4410399335158,-177.65142914710992,-139.05478175840238,-134.44255801457618,-176.9449675869642,I,C,low
-67.79063767850712,-155.36486057923523,-55.04577073578971,-132.09248428188548,-148.19983922495172,-60.51610515928131,-131.43217506669276,-146.75460087728348,C,C,high
-66.43085399505611,-70.4433935009018,-54.36422233924392,-77.46719852827583,-77.16739368793748,-50.04343769955088,-72.05854887638262,-71.81726007565014,H,H,high
-57.268799416116295,-37.62050557593995,-48.688371528063584,-49.964016600942166,-49.75332387785898,-44.126921358317254,-45.33022530114201,-45.30283694831141,G,G,high
-69.863511360602,-294.2635749782642,-207.9583909728817,-87.16215115461002,-291.2219929553338,-208.95190144711222,-96.22688644831797,-290.0904815331545,I,H,low
-65.88173227456086,-174.39787673218484,-73.12469887494542,-169.61841747916236,-122.32560667799012,-74.8582152413665,-167.49538719909836,-121.86925844841751,I,I,low
-66.76295037374086,-43.53904709407906,-56.67337789108841,-55.022821979622414,-56.76532367477961,-50.3863268707031,-48.652976469413616,-50.333337347336986,G,G,high
-68.07502556364621,-273.0301565634846,-80.37850996700284,-217.7649759271068,-209.4027672304986,-90.0305689720046,-217.73042471997763,-217.74714043013262,I,I,low
-64.82977223960076,-100.77254346854455,-52.92619977254179,-103.22839794771555,-91.57715385310475,-50.20275232120948,-98.66167901205739,-87.4455166558169,H,H,low
-63.324029960984866,-181.33447731754026,-165.22725586369162,-75.97551527649945,-137.50362759917033,-163.31917621305894,-80.61500589502363,-138.90583662410083,I,C,high
-65.06147180589193,-321.4086486988354,-120.7198235285988,-347.81531167461986,-152.54600029425288,-127.2475865895415,-346.20571388601434,-157.96699875611748,I,I,low
-67.30065261640769,-106.14393463436879,-81.67940450979492,-97.12799082741658,-83.26215346530672,-80.03368078343568,-95.19655603632789,-82.28614866723585,I,I,high
-70.77244612650291,-88.75074992189145,-59.616220768818884,-100.41690952913984,-103.40866057949088,-52.472930232649006,-91.04120207244044,-94.25757156334109,H,C,low
-64.91431516278377,-211.50098984614849,-191.2326556951524,-148.8553200515769,-79.8504519645056,-189.5499087405703,-150.4002386703719,-86.31679893920514,I,H,low
-79.57367125348466,-42.67525929776219,-68.86998352167606,-69.26560519999168,-67.97289409769803,-50.240854545896866,-50.579229463970705,-49.50166554191252,G,G,high
-64.7261366587591,-109.08263974404746,-51.05008809589815,-90.07201600233438,-119.10897790970704,-52.260772716725555,-88.37780166071487,-117.09735807308176,C,C,high
-59.41880886908749,-115.00862337097621,-92.93118524004798,-74.99233191900151,-122.54096387969426,-91.06077495522233,-76.93778651170729,-119.9743900455172,I,I,low
